coluna,feature,tipo,bloco,familia,sub_bloco,recorte,n,shap_medio_abs,participacao
mun_share_rede_estadual_lag1,mun_share_rede_estadual_lag1,valor,num,historico_municipal,historico_municipal,gold,43263,0.01616952393695299,0.017815674961809524
sigla_uf_RJ,sigla_uf,dummy,cat,territorial,territorial,gold,43263,0.011136298299836462,0.012270037854004092
nome_regiao_Centro-Oeste,nome_regiao,dummy,cat,territorial,territorial,gold,43263,0.007723101950715606,0.00850935838230958
sigla_uf_SC,sigla_uf,dummy,cat,territorial,territorial,gold,43263,0.007480398039988511,0.008241945810218186
nome_regiao_Nordeste,nome_regiao,dummy,cat,territorial,territorial,gold,43263,0.006917199639553813,0.007621410556349333
tem_historico_escola,tem_historico_escola,valor,num,historico_escolar,proveniencia_do_lag,gold,43263,0.006276368324577656,0.006915338908384933
nome_regiao_Norte,nome_regiao,dummy,cat,territorial,territorial,gold,43263,0.0058978525904184315,0.0064982880840066
sigla_uf_GO,sigla_uf,dummy,cat,territorial,territorial,gold,43263,0.004891351842321188,0.005389319740421733
caderno_15,caderno,dummy,cat_rara,estrutural,controle_negativo,gold,43263,0.003067083666842605,0.003379330517224838
sigla_uf_ES,sigla_uf,dummy,cat,territorial,territorial,gold,43263,0.0030427940773131755,0.003352568107045084
caderno_18,caderno,dummy,cat_rara,estrutural,controle_negativo,gold,43263,0.002823019414384125,0.0031104191127486543
sigla_uf_BA,sigla_uf,dummy,cat,territorial,territorial,gold,43263,0.0026358423457653163,0.0029041863363342482
caderno_20,caderno,dummy,cat_rara,estrutural,controle_negativo,gold,43263,0.0022796088945563307,0.0025116862601409803
missingindicator_mun_nivel_alfabetizacao_lag1,mun_nivel_alfabetizacao_lag1,indicador_de_nulo,num,metas,metas,gold,43263,0.0021364150106088406,0.0023539144108970195
caderno_13,caderno,dummy,cat_rara,estrutural,controle_negativo,gold,43263,0.001982769139435566,0.002184626501696958
caderno_12,caderno,dummy,cat_rara,estrutural,controle_negativo,gold,43263,0.0019656306198403742,0.0021657431817164144
caderno_1,caderno,dummy,cat_rara,estrutural,controle_negativo,gold,43263,0.0019581717044186847,0.0021575249055792453
fonte_lag_municipal_agregado_r5,fonte_lag_municipal,dummy,cat,estrutural,proveniencia_do_lag,gold,43263,0.001706229878183583,0.0018799339447698516
sigla_uf_MA,sigla_uf,dummy,cat,territorial,territorial,gold,43263,0.001535488779297287,0.0016918104148353247
