taxa_suavizada,projecao,dp_latente,inferior,superior,p_abaixo,id_municipio,fold,ficou_abaixo,baseline_prevalencia,coberto,gap_ate_meta,taxa_2023_invertida
60.437395525499,63.04209557374381,20.31377276149815,23.227832571076668,100.0,0.5229238508939195,1711506,0,1,0.4661062906724512,True,3.1099999999999923,-61.1
39.87549855730672,42.48019860555153,20.945339077889816,1.4280883689080923,83.53230884219495,0.4925683839597751,1711803,0,0,0.4661062906724512,True,6.690000000000005,-35.4
43.17572565400921,45.78042570225402,18.677103188753584,9.173976116758787,82.38687528774925,0.5189940946088412,1712009,0,1,0.4661062906724512,True,6.170000000000002,-40.5
27.32740642370385,29.93210647194866,15.444592768512429,0.0,60.202952054120786,0.5370879912094316,1712504,0,0,0.4661062906724512,True,7.170000000000002,-24.2
47.66960500689527,50.274305055140076,18.413967925851043,14.1835911079963,86.36501900228384,0.5256705765058374,1714302,0,1,0.4661062906724512,True,5.560000000000002,-45.9
25.90234905905092,28.50704910729573,16.411310269287334,0.0,60.672626174211246,0.513196177267084,1717503,0,0,0.4661062906724512,True,7.150000000000002,-21.9
24.032110466711718,26.63681051495653,26.089712934258404,0.0,77.77170823309181,0.32820297486439565,1717800,0,0,0.4661062906724512,True,5.529999999999999,-9.5
56.80929391815793,59.413993966402735,10.761660799720586,38.32152638511387,80.5064615476916,0.545719070209311,1718204,0,1,0.4661062906724512,True,3.8500000000000014,-56.8
67.38142161968659,69.9861216679314,19.756367345919944,31.264353204585127,100.0,0.5232871390915463,1718402,0,1,0.4661062906724512,True,1.6400000000000006,-69.5
25.007613417805366,27.61231346605018,20.120437475889677,0.0,67.04764627198394,0.43775159370139644,1718659,0,1,0.4661062906724512,True,6.859999999999999,-17.6
29.764361182085008,32.36906123032982,18.677103188753584,0.0,68.97551081582505,0.4874197580979877,1718881,0,0,0.4661062906724512,True,7.18,-24.6
61.56100083258875,64.16570088083357,25.578835819387578,14.032103908370821,100.0,0.5273396262735528,1718899,0,1,0.4661062906724512,True,2.719999999999999,-63.2
45.32788133204029,47.9325813802851,15.656772194944676,17.2458717640454,78.6192909965248,0.5464580215303798,1720101,0,0,0.4661062906724512,True,5.759999999999998,-44.0
64.5616199901519,67.1663200383967,17.31688021239011,33.22585849751776,100.0,0.5173576245198503,1720499,0,1,0.4661062906724512,True,2.3200000000000074,-65.6
36.65353957584772,39.258239624092525,13.894142702206683,12.026220331707396,66.49025891647764,0.5756802259509588,1722081,0,1,0.4661062906724512,True,6.709999999999994,-35.2
67.58568323386635,70.19038328211116,11.922772008488536,46.82217954959134,93.55858701463097,0.48861214165249983,2100303,0,1,0.4661062906724512,False,1.9499999999999886,-67.9
32.81022726893071,35.41492731717552,13.071213174895385,9.795820260135102,61.03403437421593,0.593885110511754,2100832,0,0,0.4661062906724512,True,7.020000000000003,-31.5
67.15341427704517,69.75811432528998,13.291109914574788,43.70801757816015,95.8082110724198,0.4970550542858615,2101301,0,1,0.4661062906724512,True,1.9599999999999937,-67.7
65.41584820081168,68.02054824905649,10.695187183295449,47.05836656188302,88.98272993622996,0.49251976743051545,2101608,0,1,0.4661062906724512,True,2.319999999999993,-65.5
50.48675815484449,53.091458203089296,10.785370489649342,31.95252048345545,74.23039592272313,0.5785876729315371,2101707,0,0,0.4661062906724512,False,4.829999999999998,-50.4
60.869239345706355,63.47393939395116,13.945984786936362,36.14031148261239,90.80756730528994,0.5219031031377692,2101731,0,0,0.4661062906724512,True,3.1399999999999935,-61.1
35.28848504194916,37.89318509019397,14.81602502691131,8.854309643403706,66.93206053698422,0.5605337351807649,2102150,0,0,0.4661062906724512,True,6.850000000000001,-33.3
39.43292253979266,42.03762258803747,10.823833733339498,20.823298296042335,63.251946880032605,0.628270302818145,2102325,0,1,0.4661062906724512,True,6.3799999999999955,-39.2
64.90973129975984,67.51443134800465,17.31688021239011,33.57396980712571,100.0,0.5180915435002695,2102408,0,1,0.4661062906724512,True,2.299999999999997,-66.0
44.99387496752844,47.59857501577325,12.349898158494533,23.393219412386426,71.80393061916007,0.5849962903674875,2102804,0,0,0.4661062906724512,True,5.75,-44.5
91.08733987708435,93.69203992532915,13.13562895308493,67.94668026300111,100.0,0.148622653876668,2103158,0,0,0.4661062906724512,True,-12.900000000000006,-92.9
47.215239540702946,49.819939588947754,10.716584771018313,28.815819400481434,70.82405977741408,0.5972954205618316,2103208,0,1,0.4661062906724512,True,5.359999999999999,-47.1
44.548255714771635,47.15295576301644,12.907159526582848,21.855387948201,72.45052357783189,0.5779144553005754,2103554,0,0,0.4661062906724512,True,5.789999999999999,-43.9
65.55305188406304,68.15775193230785,11.8985888708707,44.83694627855216,91.47855758606353,0.49940480389683084,2103703,0,1,0.4661062906724512,True,2.3400000000000034,-65.8
54.950416990388895,57.5551170386337,11.203623872137909,35.59641775291021,79.51381632435718,0.5530727546540424,2104057,0,0,0.4661062906724512,True,4.149999999999999,-54.9
45.78818409245288,48.39288414069769,13.346481793635212,22.234260504853125,74.55150777654225,0.5695037949947539,2104107,0,0,0.4661062906724512,False,5.6299999999999955,-45.1
81.64195925803752,84.24665930628233,13.255218777675752,58.26690789483881,100.0,0.3743415058358923,2104305,0,0,0.4661062906724512,True,-3.0,-83.0
85.72132917280193,88.32602922104674,16.009440093701553,56.94810322474014,100.0,0.3015073997945542,2104503,0,1,0.4661062906724512,True,-9.0,-89.0
95.1119550731556,97.71665512140041,14.626267452743164,69.0496976857734,100.0,0.11289209258106264,2104628,0,0,0.4661062906724512,True,-18.299999999999997,-98.3
70.57350260432518,73.17820265257,18.167301600408837,37.57094581949178,100.0,0.5158460373948845,2104701,0,0,0.4661062906724512,True,1.1000000000000085,-72.8
