feature,familia,shap,permutacao,permutacao_dp,acima_do_piso,logistica,posicao_shap,posicao_permutacao,posicao_logistica,leituras_disponiveis,leituras_no_topo,veredito,recorte
fonte_lag_municipal,estrutural,0.0031951854455572913,0.00021789422818081495,2.2981354501839022e-05,False,,17.0,15.0,,2,0,secundária,global
tem_historico_escola,historico_escolar,0.008484745116586149,9.501288529490947e-05,6.483538009405738e-05,False,,16.0,16.0,,2,0,secundária,global
mun_nivel_alfabetizacao_lag1,metas,0.002485590236785998,6.56552012238798e-05,1.4177985716827906e-05,False,,18.0,17.0,,2,0,secundária,global
fonte_lag_uf,estrutural,0.0005950986775455069,2.160095589022193e-05,6.102479448594926e-06,False,,19.0,18.0,,2,0,secundária,global
tem_historico_municipio,estrutural,0.00024301082522337083,6.736122002670708e-06,4.91261240845472e-06,False,0.09443417445009977,20.0,19.0,6.0,3,0,secundária,global
mun_n_escolas_lag1,historico_municipal,0.024230331639514057,-9.404070779767126e-05,0.00011417695741319897,False,,11.0,20.0,,2,0,secundária,global
mun_media_portugues_lag1,historico_municipal,0.27758515069630707,0.04173737546891576,0.0006158334723773584,True,,1.0,1.0,,2,2,fator,gold
sigla_uf,territorial,0.05538634417020355,0.009404155101987522,0.00014838466073343663,True,,5.0,2.0,,2,2,fator,gold
uf_media_portugues_lag1,territorial,0.0890473177993657,0.007147088868034446,0.00014857011802941835,True,,2.0,3.0,,2,2,fator,gold
mun_taxa_alfab_lag1,historico_municipal,0.06898580143510215,0.0043713674294752255,0.00022813236592469867,True,0.4273183900847122,3.0,4.0,1.0,3,3,fator,gold
mun_meta_2024_lag1,metas,0.02929445859616652,0.002987301539265408,0.0002095535783712607,True,,10.0,5.0,,2,1,achado sobre a leitura,gold
uf_taxa_alfab_lag1,territorial,0.03260807893409046,0.0029411348657747303,0.0001463138335846706,True,0.16591919739580802,9.0,6.0,3.0,3,1,achado sobre a leitura,gold
rede_grupo,estrutural,0.052629661000723,0.0028338466421843123,0.00014886978461224314,True,0.12139243800108666,6.0,7.0,4.0,3,0,secundária,gold
mun_taxa_presenca_lag1,historico_municipal,0.06302592567050937,0.0026072022239511327,0.00014614204192862093,True,0.11742842145908645,4.0,8.0,5.0,3,1,achado sobre a leitura,gold
nome_regiao,territorial,0.03847299278394286,0.0025269594531082684,0.00011336350041608967,True,0.33114838853057693,7.0,9.0,2.0,3,1,achado sobre a leitura,gold
uf_taxa_presenca_lag1,territorial,0.03506580361836237,0.0023369127292903525,9.729355281913715e-05,True,,8.0,10.0,,2,0,secundária,gold
mun_n_alunos_lag1,historico_municipal,0.020269368913287088,0.0010706573013058995,0.000112759918804272,False,0.022796691598664764,13.0,11.0,8.0,3,0,secundária,gold
mun_desvio_vs_uf,historico_municipal,0.024576365334935752,0.000997923203020412,9.697705326949094e-05,False,,12.0,12.0,,2,0,secundária,gold
mun_share_rede_estadual_lag1,historico_municipal,0.01616952393695299,0.0005651817526940994,6.378560759168215e-05,False,0.05590096066511199,14.0,13.0,7.0,3,0,secundária,gold
caderno,estrutural,0.012865172286235018,0.00030160196192713373,7.927187539880627e-05,False,,15.0,14.0,,2,0,secundária,gold
fonte_lag_municipal,estrutural,0.0017746328942422908,0.00021789422818081495,2.2981354501839022e-05,False,,18.0,15.0,,2,0,secundária,gold
tem_historico_escola,historico_escolar,0.006276368324577656,9.501288529490947e-05,6.483538009405738e-05,False,,16.0,16.0,,2,0,secundária,gold
mun_nivel_alfabetizacao_lag1,metas,0.0025078868336792,6.56552012238798e-05,1.4177985716827906e-05,False,,17.0,17.0,,2,0,secundária,gold
fonte_lag_uf,estrutural,0.00048335838030368744,2.160095589022193e-05,6.102479448594926e-06,False,,19.0,18.0,,2,0,secundária,gold
tem_historico_municipio,estrutural,0.00015894627774770676,6.736122002670708e-06,4.91261240845472e-06,False,0.09443417445009977,20.0,19.0,6.0,3,0,secundária,gold
mun_n_escolas_lag1,historico_municipal,0.027740874634746112,-9.404070779767126e-05,0.00011417695741319897,False,,11.0,20.0,,2,0,secundária,gold
