feature,familia,recorte,n,n_colunas,n_features,soma_das_medias_abs,media_do_abs_da_soma,dp_da_soma,participacao,cancelamento_interno
nome_regiao,territorial,gold,43263,5,1,0.04748956227621584,0.03847299278394286,0.04153535965368742,0.04500165081389989,0.18986423668909547
uf_taxa_presenca_lag1,territorial,gold,43263,2,1,0.03549993363135972,0.03506580361836237,0.047954445415394266,0.04101628014238951,0.012229037313293833
uf_taxa_alfab_lag1,territorial,gold,43263,2,1,0.03273889186759032,0.03260807893409046,0.048995908978051055,0.038141492920625276,0.003995643286550998
mun_meta_2024_lag1,metas,gold,43263,2,1,0.029331805062531267,0.02929445859616652,0.04147740628394905,0.03426556919889894,0.0012732413257597885
mun_n_escolas_lag1,historico_municipal,gold,43263,2,1,0.027740874634746112,0.027740874634746112,0.03364223795234584,0.032448350472647526,0.0
mun_desvio_vs_uf,historico_municipal,gold,43263,2,1,0.024576365334935752,0.024576365334935752,0.039299090222781975,0.02874684112277339,0.0
mun_n_alunos_lag1,historico_municipal,gold,43263,2,1,0.020269368913287088,0.020269368913287088,0.030725361212626447,0.023708970788323003,0.0
mun_share_rede_estadual_lag1,historico_municipal,gold,43263,2,1,0.01616952393695299,0.01616952393695299,0.02802718941403512,0.018913404374963246,0.0
caderno,estrutural,gold,43263,22,1,0.0236221446666413,0.012865172286235018,0.017623050053239747,0.01504832218634791,0.4553766193633152
tem_historico_escola,historico_escolar,gold,43263,1,1,0.006276368324577656,0.006276368324577656,0.007773994170051836,0.007341433958835352,0.0
mun_nivel_alfabetizacao_lag1,metas,gold,43263,2,1,0.0029073739331133964,0.0025078868336792,0.005133857665200594,0.0029334616156274536,0.13740478817817592
fonte_lag_municipal,estrutural,gold,43263,4,1,0.0019160166056569423,0.0017746328942422908,0.0016128558234267997,0.0020757784630387054,0.07379044158449521
fonte_lag_uf,estrutural,gold,43263,3,1,0.0004996293194286771,0.00048335838030368744,0.0005897920515543423,0.0005653816735951247,0.032566021432840264
tem_historico_municipio,estrutural,gold,43263,1,1,0.00015894627774770676,0.00015894627774770676,0.000223184961238277,0.00018591859826295516,0.0
