id_municipio,nome_municipio,sigla_uf,nome_regiao,n_alunos_avaliados,populacao_estimada,taxa_presenca_2024,risco_medio_oof,risco_suavizado,posicao_por_taxa,decil_por_taxa,criancas_em_risco,posicao_por_volume,decil_por_volume,taxa_alfabetizacao_2024,taxa_observada_de_risco,taxa_observada_ajustada,mun_taxa_alfab_lag1,modelo_avaliado,ordenacao_fragil
1503804,Jacundá,PA,Norte,464,550.02,0.8436363636363636,0.5686578756486884,0.5686414787933091,690.0,2.0,312.7641972721747,469.0,1.0,0.37865895,0.62134105,0.6157449226404824,40.46123504638672,True,True
2206100,Matias Olímpio,PI,Nordeste,111,114.1,0.9736842105263158,0.5683492906317843,0.5682808987929422,691.0,2.0,64.84084968514686,2011.0,4.0,0.5204207,0.4795793,0.5090427545248397,24.40728187561035,True,True
2706703,Penedo,AL,Nordeste,623,703.22003,0.8862019914651493,0.5682455553795434,0.5682333735175419,692.0,2.0,399.5930909597564,363.0,1.0,0.4312306,0.56876934,0.5687267434648462,40.639549255371094,True,True
1507508,São João do Araguaia,PA,Norte,197,220.05,0.8954545454545455,0.5681839486737257,0.5681454449140583,693.0,2.0,125.02040688718083,1170.0,3.0,0.353965,0.646035,0.6290087757508006,33.61363220214844,True,True
1715259,Novo Jardim,TO,Norte,34,39.1,0.8717948717948718,0.5683014194727969,0.5680784151753434,694.0,2.0,22.211865166537056,3702.0,7.0,0.61227626,0.3877238,0.49942871903280944,22.321430206298828,True,True
2402808,Coronel Ezequiel,RN,Nordeste,40,45.03,0.8888888888888888,0.5682503429549413,0.5680608096218585,695.0,2.0,25.579777563838682,3469.0,7.0,0.32644904,0.67355096,0.6125199981989207,40.68833541870117,True,True
2700409,Atalaia,AL,Nordeste,433,442.87,0.9774266365688488,0.5679822615413508,0.5679647629289591,696.0,2.0,251.5345517850827,587.0,2.0,0.44259036,0.55740964,0.5586040116707475,32.363609313964844,True,True
2704500,Maragogi,AL,Nordeste,408,434.24,0.9400921658986175,0.567967684807398,0.5679491157466455,697.0,2.0,246.62621847544526,600.0,2.0,0.45613027,0.54386973,0.5467389777374365,32.39565658569336,True,True
2917607,Jaguaquara,BA,Nordeste,527,527.0,0.9705340699815838,0.5678720581411554,0.5678576901032658,698.0,2.0,299.2610026844211,502.0,1.0,0.5370019,0.4629981,0.4729324729999405,46.31086349487305,True,True
2210409,São Miguel do Tapuio,PI,Nordeste,104,104.0,1.0,0.5677537353672222,0.5676810065299881,699.0,2.0,59.03882467911876,2151.0,4.0,0.45192307,0.5480769,0.5548950759655829,29.916292190551758,True,True
2706208,Palestina,AL,Nordeste,80,85.06,0.9411764705882353,0.5675173411001782,0.5674229425362735,700.0,2.0,48.264994106825505,2457.0,5.0,0.5115213,0.48847872,0.5207298028333093,33.73285675048828,True,True
2904308,Brejões,BA,Nordeste,147,147.0,0.930379746835443,0.5674377227414313,0.5673863608621277,701.0,2.0,83.40579504673276,1655.0,4.0,0.47619048,0.52380955,0.5357112425711102,53.465003967285156,True,True
2901007,Amargosa,BA,Nordeste,249,249.0,0.8798586572438163,0.5674159000455642,0.5673855781173678,702.0,2.0,141.27900895122457,1033.0,2.0,0.51004016,0.48995984,0.5040034603803216,51.06169509887695,True,True
2807006,São Miguel do Aleixo,SE,Nordeste,26,27.96,0.9285714285714286,0.567650032572941,0.5673596877710431,703.0,2.0,15.863376350645057,4176.0,8.0,0.46351933,0.5364807,0.5576629156463969,38.6363639831543,True,True
2405108,Jandaíra,RN,Nordeste,60,72.11,0.8333333333333334,0.5674244271255572,0.5672986580037722,704.0,2.0,40.907906574903635,2696.0,5.0,0.28220773,0.7177923,0.6457785991206569,32.20438766479492,True,True
2412401,São José do Seridó,RN,Nordeste,36,39.96,0.9,0.5672633857082776,0.5670540841487731,705.0,2.0,22.659480683431454,3669.0,7.0,0.5643143,0.4356857,0.5152933332688311,36.302825927734375,True,True
2904803,Caatiba,BA,Nordeste,50,50.0,0.9615384615384616,0.5670416629014506,0.566891116252369,706.0,2.0,28.34455581261845,3310.0,7.0,0.5,0.5,0.5351610081048118,48.4610710144043,True,True
2918209,Jiquiriçá,BA,Nordeste,45,45.0,0.6716417910447762,0.567004876816424,0.5668376576065254,707.0,2.0,25.507694592293642,3472.0,7.0,0.46666667,0.53333336,0.5518745942679172,42.039981842041016,True,True
2914208,Irajuba,BA,Nordeste,26,26.0,0.9285714285714286,0.5670007460638004,0.5667115521186971,708.0,2.0,14.734500355086123,4270.0,8.0,0.65384614,0.34615386,0.49623806703451084,40.334228515625,True,True
2928901,São Desidério,BA,Nordeste,307,307.0,0.9684542586750788,0.566283949391078,0.5662595253715511,709.0,2.0,173.8416742890662,843.0,2.0,0.5407166,0.45928338,0.4755766418035097,44.68680191040039,True,True
1713700,Monte Santo do Tocantins,TO,Norte,26,32.079998,0.8125,0.566538553598206,0.566250178886726,710.0,2.0,18.165304615448207,3991.0,8.0,0.44794267,0.5520574,0.5618985686267796,29.33114242553711,True,True
5006309,Paranaíba,MS,Centro-Oeste,451,469.02,0.9616204690831557,0.5657563705610991,0.5657397981001061,711.0,2.0,265.34327388950874,561.0,2.0,0.5519167,0.44808325,0.4609038008246714,30.83164405822754,True,True
2708501,São Luís do Quitunde,AL,Nordeste,398,416.36,0.9567307692307693,0.5656990860753598,0.5656803136288604,712.0,2.0,235.5266470961796,634.0,2.0,0.53633875,0.46366128,0.47607861389785117,39.59033966064453,True,True
1507607,São Miguel do Guamá,PA,Norte,676,790.28,0.8556962025316456,0.5656167206979628,0.5656056733787119,713.0,2.0,446.98686812820716,320.0,1.0,0.49584958,0.50415045,0.5087863879480898,38.69057083129883,True,True
2709202,Traipu,AL,Nordeste,160,169.05,0.9467455621301775,0.5655852598443432,0.565538604272749,714.0,2.0,95.60430277819508,1478.0,3.0,0.47488907,0.5251109,0.5354850699698378,31.621288299560547,True,True
2707008,Pindoba,AL,Nordeste,27,27.0,1.0,0.5656725164319243,0.5653962823237025,715.0,2.0,15.265699622739968,4220.0,8.0,0.4814815,0.5185185,0.5501735538841257,29.05303192138672,True,True
2507309,Jacaraú,PB,Nordeste,113,137.17,0.8248175182481752,0.5653884721530769,0.5653224994574009,716.0,2.0,77.54528621543527,1749.0,4.0,0.5119924,0.4880076,0.5133854299915348,34.781288146972656,True,True
2613404,São José da Coroa Grande,PE,Nordeste,244,258.88,0.9420849420849421,0.5651328631374591,0.5651023518623526,717.0,2.0,146.29369960941466,1001.0,2.0,0.3922667,0.6077333,0.5998802863144211,41.76668930053711,True,True
2702405,Delmiro Gouveia,AL,Nordeste,560,624.22,0.8974358974358975,0.5649656582174976,0.5649523763831141,718.0,2.0,352.65455583452837,416.0,1.0,0.28142324,0.7185768,0.7048062967756695,31.111827850341797,True,True
4305371,Charrua,RS,Sul,7,12.0,0.5833333333333334,0.5659865286325597,0.5649241679234723,719.0,2.0,6.7790900150816675,5110.0,10.0,0.0,1.0,0.6148739215459982,56.64413070678711,True,True
2910776,Feira da Mata,BA,Nordeste,66,66.0,0.9565217391304348,0.5647262513414747,0.5646137938260295,720.0,2.0,37.26451039251795,2831.0,6.0,0.45454547,0.54545456,0.5542269798052494,55.72827911376953,True,True
4314050,Parobé,RS,Sul,628,687.8564,0.9130434782608695,0.5645999298043632,0.5645881129087956,721.0,2.0,388.3555379514129,375.0,1.0,0.3814252,0.61857486,0.6142178991215391,58.275325775146484,True,True
2407252,Major Sales,RN,Nordeste,45,50.22,0.9,0.5645242342698484,0.5643595574083833,722.0,2.0,28.342137661964482,3311.0,7.0,0.6003584,0.39964157,0.4904342743613523,31.417211532592773,True,True
4307708,Esteio,RS,Sul,635,823.93335,0.7709090909090909,0.5643362029151229,0.5643245354475355,723.0,2.0,464.9658047580424,309.0,1.0,0.46684635,0.53315365,0.535645237137095,61.82724380493164,True,True
1600055,Serra do Navio,AP,Norte,49,52.989998,0.9245283018867925,0.5643278091218314,0.5641767475088055,724.0,2.0,29.895724645280048,3219.0,6.0,0.73598796,0.2640121,0.42302955542078613,32.91555404663086,True,True
2702900,Girau do Ponciano,AL,Nordeste,395,418.93,0.9427207637231504,0.5641569939870216,0.5641382591967421,725.0,2.0,236.33443679341914,628.0,2.0,0.39958942,0.6004106,0.5959693544746685,35.73418045043945,True,True
2109502,Riachão,MA,Nordeste,283,308.75,0.9158576051779935,0.5640193397330574,0.5639932141291353,726.0,2.0,174.1329048623705,840.0,2.0,0.5185101,0.4814899,0.494948821620449,41.076820373535156,True,True
2908101,Cocos,BA,Nordeste,207,207.0,0.9409090909090909,0.5639516213475828,0.5639159209729891,727.0,2.0,116.73059564140875,1230.0,3.0,0.5169082,0.4830918,0.5001014645324412,48.61479187011719,True,True
4311007,Jaguarão,RS,Sul,205,244.0,0.8401639344262295,0.5639253784442066,0.5638893357603546,728.0,2.0,137.5889979255265,1065.0,2.0,0.4732681,0.5267319,0.5346160739833299,63.52978515625,True,True
2206670,Morro do Chapéu do Piauí,PI,Nordeste,77,78.98,0.9746835443037974,0.5637667986993131,0.563670971828533,729.0,2.0,44.51873524722355,2571.0,5.0,0.4003545,0.59964544,0.5846730796990035,28.853538513183594,True,True
5003702,Dourados,MS,Centro-Oeste,3216,3878.74,0.8297213622291022,0.563422278643106,0.5634199878837923,730.0,2.0,2185.3596383022323,43.0,1.0,0.53203875,0.46796125,0.46957052735157156,40.910560607910156,True,True
4314803,Portão,RS,Sul,317,373.0,0.8498659517426274,0.5632401575122152,0.5632169470761558,731.0,2.0,210.0799212594061,715.0,2.0,0.39799803,0.60200197,0.5962582058212041,56.04899978637695,True,True
1507409,São Francisco do Pará,PA,Norte,103,130.78,0.7862595419847328,0.5631176846830666,0.5630463270979066,732.0,2.0,73.63519797055181,1820.0,4.0,0.37436917,0.62563086,0.6038326437701469,36.98490905761719,True,True
2917334,Iuiú,BA,Nordeste,94,94.0,0.9494949494949495,0.5630764795190267,0.5629983134058532,733.0,2.0,52.9218414601502,2317.0,5.0,0.25531915,0.7446808,0.6775344767345809,49.01145553588867,True,True
3304755,São Francisco de Itabapoana,RJ,Sudeste,487,555.18,0.8774774774774775,0.5629714211244925,0.5629563375993296,734.0,2.0,312.54209538518046,471.0,1.0,0.47462085,0.5253791,0.5292028558734374,43.519710540771484,True,True
1703800,Buriti do Tocantins,TO,Norte,113,125.020004,0.904,0.5629634693216343,0.562898486967809,735.0,2.0,70.37357124567727,1887.0,4.0,0.50391936,0.4960806,0.5180155069709255,41.24154281616211,True,True
1711902,Lagoa da Confusão,TO,Norte,177,200.03,0.885,0.5625460508864322,0.5625046676963151,736.0,2.0,112.51780799264272,1269.0,3.0,0.3564965,0.6435035,0.6242724817319764,26.024660110473633,True,True
2507002,Itaporanga,PB,Nordeste,163,174.12999,0.9367816091954023,0.5623370614061796,0.5622921840136473,737.0,2.0,97.91193216796589,1445.0,3.0,0.48670536,0.5132947,0.5256921006051535,17.95829963684082,True,True
2901304,Andaraí,BA,Nordeste,136,136.0,0.9444444444444444,0.5620706146200427,0.5620169211861487,738.0,2.0,76.43430128131622,1768.0,4.0,0.4779412,0.52205884,0.5336021318341947,44.78977966308594,True,True
