id_municipio,taxa_2023,taxa_2024,meta_2024,meta_2025,meta_2026,meta_2027,meta_2028,meta_2029,meta_2030,n_alunos_avaliados,taxa_presenca_2024,sigla_uf,nome_regiao,n_alunos_2023,taxa_2024_suavizada,projecao_2025,dp_latente_pp,intervalo_2025_inferior,intervalo_2025_superior,p_abaixo_da_meta_2025,gap_de_esforco_2025,meta_dentro_do_intervalo,natureza_resultado,porte_abaixo_referencia_dispersao
4312617,68.8,29.4,70.55,72.3,73.98,75.59,77.13,78.6,80,36,0.9230769230769231,RS,Sul,31.0,35.15293725389256,37.46600879098846,21.102054270927827,0.0,78.82527516181662,0.9506040947445262,42.9,True,cenario_condicional_sem_validacao_em_ano_futuro,True
4301552,86.7,37.5,80.0,80.0,80.0,80.0,80.0,80.0,80,27,0.9642857142857143,RS,Sul,28.0,42.64171705032337,44.95478858741927,23.690407095105662,0.0,91.38713327291853,0.9304698795643515,42.5,True,cenario_condicional_sem_validacao_em_ano_futuro,True
4318614,85.0,37.5,80.0,80.0,80.0,80.0,80.0,80.0,80,16,0.8888888888888888,RS,Sul,20.0,44.89348406383627,47.20655560093217,29.665919781765044,0.0,100.0,0.8655122256865817,42.5,True,cenario_condicional_sem_validacao_em_ano_futuro,True
4322541,76.3,35.0,76.86,77.4,77.94,78.47,78.99,79.5,80,64,0.8888888888888888,RS,Sul,59.0,37.85157440069733,40.16464593779323,17.120956712095737,6.608187401216284,73.72110447437018,0.9851789732930432,42.400000000000006,False,cenario_condicional_sem_validacao_em_ano_futuro,True
2107456,80.8,37.64,80.0,80.0,80.0,80.0,80.0,80.0,80,86,0.9347826086956522,MA,Nordeste,95.0,39.57896698115132,41.89203851824722,15.590960276367204,11.334317892172844,72.44975914432159,0.9927420040866083,42.36,False,cenario_condicional_sem_validacao_em_ano_futuro,True
4319000,83.8,38.3,80.0,80.0,80.0,80.0,80.0,80.0,80,152,0.8888888888888888,RS,Sul,204.0,39.4073418573828,41.7204133944787,13.411118739175924,15.435103673303662,68.00572311565372,0.9978435276282857,41.7,False,cenario_condicional_sem_validacao_em_ano_futuro,False
4301875,61.0,25.5,64.15,67.17,70.06,72.79,75.36,77.77,80,64,0.9846153846153847,RS,Sul,68.0,29.536198171463138,31.849269708559035,17.120956712095737,0.0,65.40572824513598,0.9804442313870345,41.67,False,cenario_condicional_sem_validacao_em_ano_futuro,True
4320859,59.7,24.7,63.05,66.3,69.39,72.32,75.07,77.63,80,59,0.8676470588235294,RS,Sul,64.0,29.1395455298528,31.452617066948697,17.598504893695004,0.0,65.9450528403428,0.9761557154661203,41.599999999999994,False,cenario_condicional_sem_validacao_em_ano_futuro,True
4321493,100.0,38.7,80.0,80.0,80.0,80.0,80.0,80.0,80,16,0.9411764705882353,RS,Sul,13.0,45.65788959813021,47.97096113522611,29.665919781765044,0.0,100.0,0.859852682618004,41.3,True,cenario_condicional_sem_validacao_em_ano_futuro,True
2109056,73.8,34.42,74.78,75.71,76.62,77.5,78.36,79.19,80,48,0.96,MA,Nordeste,81.0,38.16295309358434,40.47602463068024,18.929941205513458,3.374021638413126,77.57802762294736,0.9686478798107325,41.28999999999999,True,cenario_condicional_sem_validacao_em_ano_futuro,True
2210904,68.4,30.86,70.3,72.09,73.82,75.47,77.05,78.56,80,26,0.9629629629629629,PI,Nordeste,37.0,37.872072045656026,40.18514358275193,24.06391718874983,0.0,87.34955459965593,0.9075533224403041,41.230000000000004,True,cenario_condicional_sem_validacao_em_ano_futuro,True
4307203,92.0,38.8,80.0,80.0,80.0,80.0,80.0,80.0,80,53,0.9464285714285714,RS,Sul,51.0,41.598780948801284,43.911852485897185,18.268361875837652,8.106521152710798,79.71718381908357,0.9758911753432857,41.2,False,cenario_condicional_sem_validacao_em_ano_futuro,True
4307500,81.3,39.1,80.0,80.0,80.0,80.0,80.0,80.0,80,138,0.9324324324324325,RS,Sul,140.0,40.26313900423005,42.57621054132595,13.719156053096771,15.687158778971593,69.4652623036803,0.9968125632358882,40.9,False,cenario_condicional_sem_validacao_em_ano_futuro,False
