id_municipio,sigla_uf,nome_regiao,cluster,cluster_nome,n_avaliados,taxa_alfabetizacao_2023,taxa_alfabetizacao_2024,media_portugues_2024,taxa_presenca_2024,log_porte,share_rede_estadual,proporcao_aluno_nivel_0,proporcao_aluno_nivel_1,proporcao_aluno_nivel_2,proporcao_aluno_nivel_3,proporcao_aluno_nivel_4,proporcao_aluno_nivel_5,proporcao_aluno_nivel_6,proporcao_aluno_nivel_7,proporcao_aluno_nivel_8
3544400,SP,Sudeste,1,faixa intermediária,28,0.534,0.82142854,773.10925,0.9333333333333333,1.4471580313422192,0.0,0.0,3.57,0.0,14.29,3.57,25.0,25.0,21.43,7.14
3544509,SP,Sudeste,1,faixa intermediária,32,0.605,0.75,776.1556,0.9142857142857143,1.505149978319906,0.0,0.0,0.0,0.0,6.43,21.79,24.82,12.32,31.61,3.04
3544806,SP,Sudeste,1,faixa intermediária,69,0.68,0.6837462,759.5898,0.9324324324324325,1.8388490907372552,0.0,0.0,2.87,7.26,13.06,17.12,18.83,20.4,13.21,7.24
3545001,SP,Sudeste,1,faixa intermediária,198,0.6459999999999999,0.65515566,756.72437,0.9041095890410958,2.296665190261531,0.0,1.52,1.53,6.41,14.97,12.62,29.12,16.23,13.44,4.16
3545100,SP,Sudeste,1,faixa intermediária,54,0.5710000000000001,0.6169287,757.03265,0.9310344827586207,1.7323937598229686,0.0,0.0,5.78,11.75,11.56,14.65,11.03,21.73,14.48,9.04
3545159,SP,Sudeste,1,faixa intermediária,101,0.6559999999999999,0.6445139,754.00653,0.9181818181818182,2.0043213737826426,0.0,0.91,5.31,8.66,10.39,21.06,18.92,12.85,20.99,0.91
3545209,SP,Sudeste,1,faixa intermediária,1303,0.562,0.6733176,758.44226,0.9241134751773049,3.1149444157125847,0.41489363,1.88,2.85,6.59,10.39,17.32,23.09,19.92,12.23,5.73
3545605,SP,Sudeste,1,faixa intermediária,120,0.607,0.64327365,754.8349,0.851063829787234,2.0791812460476247,0.0,0.0,4.91,6.3,14.44,14.18,25.57,18.51,12.96,3.14
3545704,SP,Sudeste,1,faixa intermediária,65,0.6559999999999999,0.58208954,755.3098,0.9701492537313433,1.8129133566428555,0.0,1.64,4.63,7.76,16.72,15.82,12.24,17.01,16.57,7.61
3545803,SP,Sudeste,1,faixa intermediária,1579,0.546,0.66843903,761.1713,0.9095622119815668,3.1983821300082944,0.1578341,2.11,3.34,5.62,10.74,15.72,19.38,19.95,16.38,6.76
3546207,SP,Sudeste,1,faixa intermediária,30,0.6659999999999999,0.7335973,762.2046,0.9375,1.4771212547196624,0.0,0.0,3.37,3.31,13.24,13.4,23.33,30.01,13.35,0.0
3546405,SP,Sudeste,1,faixa intermediária,388,0.527,0.70728326,761.85657,0.9371980676328503,2.5888317255942073,0.26086956,0.49,1.36,7.73,9.12,15.55,24.23,23.52,12.85,5.14
3546702,SP,Sudeste,1,faixa intermediária,290,0.597,0.64047885,754.4247,0.8895705521472392,2.462397997898956,0.0,2.34,5.13,10.29,7.15,14.57,19.55,23.19,14.04,3.75
3546801,SP,Sudeste,1,faixa intermediária,506,0.722,0.67173463,758.78564,0.8815331010452961,2.7041505168397992,0.0,0.64,4.44,7.93,10.29,13.44,23.79,22.02,11.9,5.55
3546900,SP,Sudeste,1,faixa intermediária,93,0.6679999999999999,0.70683235,757.23883,0.9489795918367347,1.968482948553935,0.0,2.17,1.15,7.51,9.57,17.48,25.47,23.54,6.62,6.5
3547403,SP,Sudeste,1,faixa intermediária,17,0.604,0.5294118,758.7976,0.8947368421052632,1.2304489213782739,0.0,0.0,0.0,11.76,5.88,29.41,5.88,29.41,5.88,11.76
3547502,SP,Sudeste,1,faixa intermediária,158,0.624,0.6797109,763.1158,0.9132947976878613,2.1986570869544226,0.0,0.63,1.85,9.7,11.45,12.7,19.08,17.78,18.07,8.73
3547601,SP,Sudeste,1,faixa intermediária,199,0.7440000000000001,0.75318027,768.5153,0.943127962085308,2.298853076409707,0.0,1.0,1.01,3.99,8.03,16.19,22.12,25.05,16.58,6.04
